"","prod_env","season","year","long","lat"
"278","Odisha","wet_season","2013",85.8976666666667,20.4006666666667
"279","Odisha","wet_season","2013",85.9042,20.3826
"280","Odisha","wet_season","2013",85.9018166666667,20.3831333333333
"281","Odisha","wet_season","2013",85.9015833333333,20.3809
"282","Odisha","wet_season","2013",85.9073666666667,20.3928
"283","Odisha","wet_season","2013",85.9455,20.3547166666667
"284","Odisha","wet_season","2013",85.9445833333333,20.3557333333333
"285","Odisha","wet_season","2013",85.94715,20.3540166666667
"286","Odisha","wet_season","2013",85.9434166666667,20.3523
"287","Odisha","dry_season","2014",85.83,20.12
"288","Odisha","dry_season","2014",85.83,20.12
"289","Odisha","dry_season","2014",85.83,20.12
"290","Odisha","dry_season","2014",85.83,20.12
"291","Odisha","dry_season","2014",85.83,20.12
"292","Odisha","dry_season","2014",85.83,20.12
"293","Odisha","dry_season","2014",85.52,20.27
"294","Central plain","wet_season","2015",100.11432,14.63623
"295","Central plain","wet_season","2015",100.11432,14.63623
"296","Central plain","wet_season","2015",100.11432,14.63623
"297","Central plain","wet_season","2015",100.11432,14.63623
"298","Central plain","wet_season","2015",100.11432,14.63623
"299","Central plain","wet_season","2015",100.11432,14.63623
"300","Central plain","wet_season","2015",100.11432,14.63623
"301","Central plain","wet_season","2015",100.11432,14.63623
"302","Central plain","wet_season","2015",100.11432,14.63623
"303","Central plain","wet_season","2015",100.11432,14.63623
"304","Central plain","wet_season","2015",100.11432,14.63623
"305","Odisha","dry_season","2014",85.52,20.27
"306","Central plain","wet_season","2015",100.11432,14.63623
"307","Odisha","dry_season","2014",85.52,20.27
"308","Odisha","dry_season","2014",85.52,20.27
"309","Odisha","dry_season","2014",85.52,20.27
"310","Odisha","dry_season","2014",85.52,20.27
"311","Odisha","dry_season","2014",85.52,20.27
"312","Odisha","dry_season","2014",85.84,20.27
"313","Odisha","dry_season","2014",85.84,20.27
"314","West Java","wet_season","2014",107,-6.266
"315","Red rive delta","wet_season","2014",106.23963,20.4761
"316","Red rive delta","wet_season","2014",106.2331,20.4714
"317","Red rive delta","wet_season","2014",106.2243,20.484
"318","Red rive delta","wet_season","2014",106.2257,20.485
"319","Red rive delta","wet_season","2014",106.2329,20.4812
"320","Red rive delta","wet_season","2014",106.2355,20.4918
"321","Red rive delta","wet_season","2014",106.23147,20.47462
"322","Red rive delta","wet_season","2014",106.23194,20.47703
"323","Red rive delta","wet_season","2014",106.23097,20.47413
"324","Red rive delta","wet_season","2014",106.2329,20.4715
"325","Red rive delta","wet_season","2014",106.2341,20.47
"326","Red rive delta","wet_season","2014",106.2331,20.5152
"327","Red rive delta","wet_season","2014",106.232,20.487
"328","Red rive delta","wet_season","2014",106.3899,20.7906
"329","Red rive delta","wet_season","2014",106.23138,20.477
"330","Tamil Nadu","dry_season","2015",79.5622,11.0648
"331","Tamil Nadu","dry_season","2015",79.5598,11.068
"332","Tamil Nadu","dry_season","2015",79.563,11.0513
"333","Tamil Nadu","dry_season","2015",79.564,11.0448
"334","Tamil Nadu","dry_season","2015",79.3325,11.02284
"335","Tamil Nadu","dry_season","2015",79.3348,11.02337
"336","Tamil Nadu","dry_season","2015",79.339,11.03163
"337","Tamil Nadu","dry_season","2015",79.3319,11.03385
"338","Tamil Nadu","dry_season","2015",79.35,11.0174
"339","Odisha","dry_season","2015",85.883,20.4625
"340","Tamil Nadu","dry_season","2015",79.572,11.0625
"341","Tamil Nadu","dry_season","2015",79.571,11.0711
"342","Tamil Nadu","dry_season","2015",79.5623,11.0622
"343","Tamil Nadu","dry_season","2015",79.5614,11.0625
"344","Tamil Nadu","dry_season","2015",79.5523,11.0672
"345","Tamil Nadu","wet_season","2015",79.574,11.023
"346","Tamil Nadu","wet_season","2015",79.563,11.022
"347","Odisha","dry_season","2015",85.883,20.4625
"348","Tamil Nadu","wet_season","2015",79.5461,11.025
"349","Tamil Nadu","wet_season","2015",79.561,11.026
"350","Tamil Nadu","wet_season","2015",79.569,11.027
"351","Tamil Nadu","wet_season","2015",79.568,11.008
"352","Tamil Nadu","wet_season","2015",79.563,11.006
"353","Tamil Nadu","wet_season","2015",79.565,11.009
"354","Tamil Nadu","wet_season","2015",79.562,11.012
"355","Tamil Nadu","wet_season","2015",79.571,11.004
"356","Tamil Nadu","wet_season","2015",79.573,10.994
"357","Tamil Nadu","wet_season","2015",79.578,10.999
"358","Odisha","dry_season","2015",85.883,20.4625
"359","Tamil Nadu","wet_season","2015",79.581,10.996
"360","Odisha","dry_season","2015",85.883,20.4625
"361","Tamil Nadu","wet_season","2015",79.581,10.99
"362","Tamil Nadu","wet_season","2015",79.585,10.99
"363","Tamil Nadu","dry_season","2014",79.5715,11.02131
"364","Tamil Nadu","dry_season","2014",79.5717,11.01249
"365","Tamil Nadu","dry_season","2014",79.5717,11.00577
"366","Tamil Nadu","dry_season","2014",79.5738,10.9916
"367","Tamil Nadu","dry_season","2014",79.5793,10.9944
"368","Tamil Nadu","dry_season","2014",79.5753,10.9898
"369","Odisha","dry_season","2015",85.883,20.4625
"370","Odisha","dry_season","2015",85.883,20.4625
"371","Tamil Nadu","dry_season","2014",79.5894,10.98677
"372","Tamil Nadu","dry_season","2014",79.5793,10.9872
"373","Tamil Nadu","dry_season","2014",79.5939,10.98525
"374","Tamil Nadu","dry_season","2014",79.5984,10.98442
"375","Tamil Nadu","dry_season","2014",79.6027,10.98361
"376","Tamil Nadu","dry_season","2014",79.5691,11.02107
"377","Tamil Nadu","dry_season","2014",79.5717,11.02353
"378","Tamil Nadu","dry_season","2014",79.5664,11.03173
"379","Tamil Nadu","dry_season","2014",79.342,11.01172
"380","Odisha","dry_season","2015",85.883,20.4625
"381","Odisha","dry_season","2015",85.883,20.4625
"382","Odisha","dry_season","2015",85.883,20.4625
"383","Odisha","dry_season","2015",85.8327,20.1112
"384","Odisha","dry_season","2015",85.8327,20.1112
"385","Odisha","dry_season","2015",85.8327,20.1112
"386","Odisha","dry_season","2015",85.8327,20.1112
"387","Odisha","dry_season","2015",85.8327,20.1112
"388","Odisha","dry_season","2015",85.8327,20.1112
"389","Odisha","wet_season","2015",85.883,20.4625
"390","Odisha","wet_season","2015",85.883,20.4625
"391","Odisha","wet_season","2015",85.8327,20.1112
"392","Odisha","wet_season","2015",85.883,20.4625
"393","West Java","wet_season","2014",107.45265,-6.2698
"394","West Java","wet_season","2014",107.50855,-6.27333333333333
"395","Odisha","wet_season","2015",85.8327,20.1112
"396","West Java","wet_season","2014",107.454588888889,-6.23139722222222
"397","Odisha","wet_season","2015",85.8327,20.1112
"398","Odisha","wet_season","2015",85.883,20.4625
"399","West Java","wet_season","2014",107.512997222222,-6.33041388888889
"400","West Java","wet_season","2014",107.5083,-6.2714
"401","Odisha","wet_season","2015",85.883,20.4625
"402","Odisha","wet_season","2015",85.883,20.4625
"403","Odisha","wet_season","2015",85.883,20.4625
"404","Odisha","wet_season","2015",85.8327,20.1112
"405","Odisha","wet_season","2015",85.883,20.4625
"406","Odisha","wet_season","2015",85.883,20.4625
"407","Odisha","wet_season","2015",85.883,20.4625
"408","Odisha","wet_season","2015",85.883,20.4625
"409","West Java","wet_season","2014",107.454891666667,-6.33218333333333
"410","West Java","wet_season","2014",107.508633333333,-6.27125
"411","West Java","wet_season","2014",107.513033333333,-6.26973333333333
"412","West Java","wet_season","2014",107.505277777778,-6.27271111111111
"413","West Java","wet_season","2014",107.507188888889,-6.32923611111111
"414","West Java","wet_season","2014",107.452833333333,-6.27085
"415","West Java","wet_season","2014",107.51315,-6.2688
"416","West Java","wet_season","2014",107.506288888889,-6.32749444444445
"417","West Java","dry_season","2015",107.3079,-6.16128
"418","West Java","dry_season","2015",107.2722,-6.161804
"419","West Java","dry_season","2015",107.4517,-6.265667
"420","West Java","dry_season","2015",107.4551,-6.16
"421","West Java","dry_season","2015",107.4538,-6.264845
"422","West Java","dry_season","2015",107.4591,-6.269828
"423","West Java","dry_season","2015",107.3037,-6.161532
"424","West Java","dry_season","2015",107.2722,-6.161489
"425","West Java","dry_season","2015",107.3038,-6.161424
"426","West Java","dry_season","2015",107.3038,-6.160913
"427","West Java","dry_season","2015",107.5179,-6.263629
"428","West Java","dry_season","2015",107.5179,-6.263629
"429","West Java","dry_season","2015",107.5218,-6.260028
"430","West Java","dry_season","2015",107.519,-6.26126
"431","West Java","dry_season","2015",107.2422,-6.161199
"432","Central plain","dry_season","2015",100.050752,14.774822
"433","Central plain","dry_season","2015",100.078145,14.872087
"434","Central plain","dry_season","2015",100.077791,14.87792
"435","Central plain","dry_season","2015",100.079157,14.885025
"436","West Java","wet_season","2015",107.27260352,-6.321108
"437","Central plain","dry_season","2015",100.0578,14.501
"438","Central plain","dry_season","2015",100.095961,14.834261
"439","Central plain","dry_season","2015",100.141586,14.59766
"440","Central plain","dry_season","2015",100.142474,14.601146
"441","Central plain","dry_season","2015",100.124035,14.645515
"442","Central plain","dry_season","2015",100.130284,14.641908
"443","Central plain","dry_season","2015",100.122934,14.644737
"444","Central plain","dry_season","2015",100.124629,14.641664
"445","Central plain","dry_season","2015",100.093167,14.400244
"446","Central plain","dry_season","2015",100.082803,14.396337
"447","Central plain","dry_season","2015",100.109571,14.422201
